DIA	MES	ANIO	T_MED_A	T_MAX_A	T_MIN_A	HR_MED	PRECIP	TANQUEA	VIENTO	HELIOF	PENMAN
7	11	2000	16.8	20.7	15.2	93.0	10.2	2.5	88.5	0.1	1.7

8	11	2000	17.6	20.7	12.1	91.0	5.5	3.4	100.8	4.6	2.6

9	11	2000	17.8	22.1	14.7	84.0	0.0	5.4	128.7	8.0	3.6

10	11	2000	17.6	23.5	11.7	80.0	0.0	2.0	253.7	10.8	4.6

11	11	2000	18.9	24.3	15.1	80.0	0.0	3.0	169.5	5.1	3.5

12	11	2000	18.6	22.5	15.1	80.0	38.5	7.3	162.4	7.9	3.9

13	11	2000	15.7	20.3	10.3	51.0	0.0	9.8	367.9	12.5	6.7

14	11	2000	11.7	15.1	7.9	59.0	0.2	8.8	321.3	10.3	5.0

15	11	2000	13.3	18.7	6.8	68.0	0.0	6.7	184.9	12.3	4.4

16	11	2000	17.5	23.7	8.0	60.0	0.0	8.7	261.0	12.9	5.9

17	11	2000	20.2	26.9	12.3	62.0	0.0	10.8	267.0	12.9	6.4

18	11	2000	22.1	28.5	14.3	55.0	0.0	8.7	261.0	13.1	7.1

19	11	2000	17.8	23.9	11.3	75.0	0.0	2.3	140.0	2.2	3.0

20	11	2000	15.7	22.1	9.3	63.0	0.3	8.0	237.3	12.4	5.3

21	11	2000	19.2	27.4	10.3	65.0	0.0	4.9	276.5	4.0	4.7

22	11	2000	20.0	23.6	17.2	83.0	13.0	4.4	174.9	5.2	3.6

23	11	2000	20.4	30.7	16.0	82.0	6.5	11.5	343.4	7.2	4.6

24	11	2000	15.0	18.0	10.4	60.0	17.8	6.4	218.1	13.2	5.4

25	11	2000	16.1	22.6	8.0	63.0	0.0	6.9	243.0	9.9	5.1

26	11	2000	20.8	27.7	13.7	64.0	0.0	7.2	270.3	9.8	6.0

27	11	2000	23.8	29.4	17.5	67.0	20.5	7.2	42.6	11.8	5.4

28	11	2000	19.7	22.2	17.0	81.0	0.0	6.0	304.6	2.9	3.6

29	11	2000	16.1	19.5	11.4	72.0	0.0	6.7	232.3	12.9	5.2

30	11	2000	16.7	23.0	9.9	76.0	0.0	9.7	200.6	12.9	5.0

1	12	2000	19.6	26.3	12.1	64.0	0.0	8.7	157.0	13.1	5.8

2	12	2000	21.4	26.5	13.3	61.0	0.0	7.2	113.5	9.6	5.2

3	12	2000	18.7	21.5	16.5	79.0	0.0	7.4	226.7	3.3	3.5

4	12	2000	17.0	20.3	12.3	66.0	0.0	7.3	156.7	11.9	5.1

5	12	2000	19.1	26.9	10.0	63.0	0.0	8.8	205.6	12.6	5.9

6	12	2000	24.8	31.7	16.3	55.0	0.0	11.7	254.3	12.4	7.6

7	12	2000	24.3	29.5	19.4	67.0	0.0	7.8	208.4	3.9	4.8

8	12	2000	23.5	30.4	17.3	78.0	0.0	7.4	141.4	10.6	5.4

9	12	2000	23.7	30.8	17.3	63.0	0.0	12.6	316.9	11.5	7.3

10	12	2000	21.0	29.7	12.6	59.0	0.0	10.0	297.9	8.3	6.3

11	12	2000	24.4	29.7	18.0	72.0	10.2	9.1	195.2	12.1	6.4

12	12	2000	24.3	32.2	15.9	72.0	0.0	7.7	180.6	12.4	6.4

13	12	2000	26.7	31.1	22.3	71.0	0.0	8.5	216.4	4.3	5.0

14	12	2000	24.4	31.0	19.5	78.0	0.0	9.8	174.9	10.0	5.6

15	12	2000	17.5	21.8	10.7	80.0	8.3	2.4	228.2	0.0	2.8

16	12	2000	16.1	21.3	10.0	64.0	5.5	8.2	212.7	13.3	5.6

17	12	2000	21.1	28.3	11.4	50.0	0.0	11.6	293.7	12.4	7.6

18	12	2000	21.4	29.0	16.1	67.0	0.0	10.9	256.0	12.4	6.5

19	12	2000	21.0	28.4	11.1	51.0	0.0	8.7	172.5	13.2	6.6

20	12	2000	18.5	22.5	13.6	61.0	0.0	8.7	207.8	12.3	6.0

21	12	2000	20.4	27.9	14.8	74.0	0.0	4.5	130.5	5.5	4.1

22	12	2000	22.9	29.7	15.7	71.0	0.0	14.4	217.9	7.2	5.3

23	12	2000	18.4	20.9	12.2	56.0	0.0	11.9	256.6	8.9	5.9

24	12	2000	18.5	27.5	8.3	60.0	0.0	7.1	164.5	13.4	5.9

25	12	2000	26.0	33.1	17.0	67.0	0.0	10.3	247.6	13.0	7.5

26	12	2000	26.5	36.2	19.6	74.0	0.0	8.4	297.3	8.5	6.3

27	12	2000	21.5	25.5	18.7	87.0	41.6	3.4	202.0	3.9	3.4

28	12	2000	22.2	28.7	15.5	63.0	0.0	7.3	77.4	10.6	5.3

29	12	2000	21.7	27.6	17.7	79.0	0.0	7.0	173.1	6.8	4.4

30	12	2000	20.3	28.2	14.6	67.0	7.3	8.0	141.9	13.1	5.8

31	12	2000	23.0	29.7	13.8	64.0	0.0	10.0	138.3	12.6	6.2

1	1	2001	25.8	32.4	17.3	63.0	0.0	9.1	173.9	12.8	7.1

2	1	2001	27.4	34.1	19.4	65.0	0.0	10.8	146.8	11.2	6.7

3	1	2001	27.1	33.6	20.4	64.0	0.0	11.2	192.3	11.6	7.1

4	1	2001	29.3	33.6	23.4	65.0	0.0	7.6	104.8	12.2	7.1

5	1	2001	30.0	36.2	22.4	61.0	0.0	11.3	150.0	12.2	7.6

6	1	2001	25.5	33.0	21.3	82.0	0.0	3.0	224.3	2.0	3.7

7	1	2001	24.7	28.6	20.4	79.0	33.0	5.1	137.4	1.9	3.4

8	1	2001	24.0	27.8	18.5	74.0	0.0	5.3	240.0	0.0	3.6

9	1	2001	24.3	30.2	16.0	68.0	2.0	2.0	277.7	13.8	7.4

10	1	2001	20.5	26.9	18.2	75.0	52.0	7.0	309.1	4.1	4.4

11	1	2001	18.8	26.0	11.0	57.0	0.0	7.7	187.0	11.0	5.7

12	1	2001	18.8	26.0	11.6	59.0	0.0	10.6	211.8	12.6	6.1

13	1	2001	21.2	29.0	12.3	69.0	0.0	5.7	115.2	9.0	4.9

14	1	2001	23.3	27.4	19.5	74.0	0.0	9.8	183.1	12.4	6.1

15	1	2001	23.5	28.5	17.6	84.0	0.0	7.3	166.2	12.5	5.7

16	1	2001	26.1	33.0	20.5	77.0	0.0	8.7	145.3	12.6	6.4

17	1	2001	26.0	32.2	21.8	79.0	0.0	5.5	347.2	6.0	5.4

18	1	2001	23.5	26.5	19.8	89.0	10.8	4.6	218.9	2.3	3.1

19	1	2001	19.9	26.3	14.0	66.0	3.8	4.7	208.5	12.8	5.9

20	1	2001	20.2	26.6	12.4	67.0	0.0	8.6	283.8	12.3	6.3

21	1	2001	21.7	26.8	15.9	65.0	0.0	5.5	165.7	7.1	4.9

22	1	2001	24.5	29.2	17.7	68.0	0.0	8.0	75.8	12.4	5.8

23	1	2001	25.9	31.3	20.3	70.0	0.0	8.8	106.5	11.0	5.9

24	1	2001	25.6	32.0	19.2	75.0	0.0	7.0	180.8	9.7	5.7

25	1	2001	24.9	30.2	19.6	80.0	36.3	8.6	83.5	9.5	5.0

26	1	2001	24.2	30.0	19.9	84.0	0.0	9.0	129.2	6.4	4.1

27	1	2001	23.0	28.4	19.6	87.0	37.0	7.7	182.2	7.0	4.1

28	1	2001	22.7	27.0	19.0	84.0	3.7	5.0	112.2	3.8	3.3

29	1	2001	20.8	25.7	15.2	71.0	0.0	7.8	154.9	12.4	5.4

30	1	2001	22.5	29.5	14.8	68.0	0.0	9.0	244.4	11.2	6.1

31	1	2001	23.8	29.1	18.3	82.0	0.0	3.6	155.0	7.8	4.5

1	2	2001	23.7	27.5	21.5	82.0	1.0	5.9	239.2	6.9	4.6

2	2	2001	24.0	30.0	19.2	72.0	0.0	5.8	224.0	6.5	5.0

3	2	2001	20.4	24.4	14.7	61.0	1.0	7.6	121.4	10.2	5.0

4	2	2001	21.8	28.6	15.5	65.0	0.0	7.4	113.3	9.7	5.0

5	2	2001	23.9	29.8	16.2	67.0	0.0	9.1	149.2	12.3	5.9

6	2	2001	24.9	31.4	19.3	74.0	0.0	7.7	191.5	11.6	5.9

7	2	2001	26.0	32.9	21.2	83.0	0.9	7.8	140.4	8.2	4.7

8	2	2001	26.0	30.3	22.6	77.0	0.0	8.4	254.5	10.0	5.9

9	2	2001	27.1	32.3	21.6	77.0	0.0	10.0	291.0	8.4	5.8

10	2	2001	22.7	28.1	18.9	71.0	6.2	9.0	250.5	8.6	5.3

11	2	2001	17.2	19.1	13.8	90.0	31.0	1.1	136.4	0.0	1.8

12	2	2001	20.4	24.9	13.9	71.0	31.4	8.2	142.5	12.4	5.0

13	2	2001	21.2	27.2	13.3	67.0	0.0	7.0	212.4	12.4	5.6

14	2	2001	22.2	26.3	18.5	86.0	0.0	4.2	72.2	8.6	3.9

15	2	2001	23.2	28.7	18.3	78.0	13.4	7.5	80.1	12.0	4.9

16	2	2001	23.8	30.4	16.5	64.0	0.0	7.4	108.3	11.4	5.3

17	2	2001	23.5	29.9	17.1	69.0	0.0	7.5	99.8	12.5	5.3

18	2	2001	24.2	30.1	18.5	74.0	0.0	4.0	209.9	12.2	5.7

19	2	2001	25.5	30.7	19.9	74.0	0.0	7.5	122.4	12.4	5.6

20	2	2001	26.7	32.7	20.1	65.0	0.0	10.2	237.7	12.3	6.7

21	2	2001	27.2	33.0	21.5	70.0	0.0	8.4	166.1	11.7	6.0

22	2	2001	25.5	31.3	20.2	81.0	0.0	8.2	157.5	11.5	5.3

23	2	2001	25.8	32.6	22.9	86.0	0.0	2.8	167.0	4.1	3.4

24	2	2001	24.7	28.8	21.6	90.0	7.8	4.0	159.6	3.1	2.8

25	2	2001	23.5	28.1	19.0	76.0	0.0	7.4	241.6	9.6	5.0

26	2	2001	23.0	29.3	16.8	80.0	0.0	6.8	279.3	7.8	4.5

27	2	2001	25.6	30.3	21.8	82.0	0.0	4.6	295.1	1.9	3.4

28	2	2001	27.8	33.0	23.1	77.0	0.0	10.2	307.9	10.5	6.1

1	3	2001	23.4	26.7	21.2	92.0	14.5	1.8	176.0	0.0	1.9

2	3	2001	23.5	25.9	21.3	94.0	16.8	1.8	84.3	0.0	1.7

3	3	2001	24.4	28.1	22.7	90.0	18.9	1.1	196.3	2.4	2.6

4	3	2001	29.1	34.5	24.4	76.0	5.4	6.9	175.6	11.7	6.0

5	3	2001	23.7	25.9	21.1	92.0	16.1	3.5	107.1	0.1	1.8

6	3	2001	22.8	27.6	19.4	82.0	3.8	6.6	171.5	11.5	4.5

7	3	2001	22.0	28.4	16.0	69.0	0.0	6.6	135.0	11.5	4.6

8	3	2001	23.7	30.0	17.4	63.0	0.0	7.4	181.2	11.6	5.3

9	3	2001	24.6	31.1	18.4	71.0	0.0	7.9	240.2	11.4	5.4

10	3	2001	25.2	28.7	21.5	85.0	0.0	2.6	157.3	2.3	2.7

11	3	2001	23.8	25.7	21.4	89.0	0.0	4.0	175.9	1.0	2.2

12	3	2001	24.3	29.7	19.0	74.0	0.0	3.8	155.5	10.5	4.6

13	3	2001	24.7	30.9	19.5	74.0	0.0	2.2	102.6	11.7	4.6

14	3	2001	24.4	29.7	19.3	80.0	0.0	5.3	181.6	11.4	4.6

15	3	2001	25.4	30.9	21.2	83.0	0.0	7.8	166.0	10.9	4.5

16	3	2001	24.4	30.0	19.3	84.0	0.0	6.2	181.1	6.9	3.6

17	3	2001	24.7	30.8	18.8	77.0	28.3	6.1	171.9	11.3	4.6

18	3	2001	23.4	26.7	18.2	86.0	0.0	5.4	236.5	0.0	2.2

19	3	2001	19.0	23.0	15.3	67.0	0.4	5.9	161.2	10.4	3.9

20	3	2001	16.6	20.8	14.7	80.0	0.0	2.6	365.8	3.3	3.0

21	3	2001	17.2	19.2	16.0	96.0	84.2	0.6	349.6	0.0	1.4

22	3	2001	19.5	20.8	17.6	96.0	46.5	1.9	264.7	0.0	1.4

23	3	2001	19.9	21.0	19.0	97.0	32.6	3.8	295.1	0.0	1.4

24	3	2001	20.8	24.4	17.7	91.0	10.5	3.5	188.2	2.1	2.0

25	3	2001	17.4	20.2	15.4	89.0	0.7	3.1	232.1	1.9	1.9

26	3	2001	18.2	20.1	16.8	85.0	0.3	3.6	236.4	5.4	2.6

27	3	2001	16.8	20.7	12.3	90.0	1.1	2.6	105.5	7.4	2.2
28	3	2001	18.6	21.8	14.6	91.0	0.0	2.1	78.0	8.1	2.3

29	3	2001	19.5	22.7	16.2	87.0	0.2	5.3	80.7	10.1	2.7

30	3	2001	18.5	23.1	13.1	86.0	1.5	4.3	73.9	9.7	2.6

31	3	2001	18.6	24.7	14.2	85.0	0.2	3.2	99.5	9.6	2.6

1	4	2001	20.3	26.0	14.3	69.0	0.0	5.1	87.1	10.9	3.2

2	4	2001	21.2	27.3	15.4	70.0	0.0	5.4	174.9	10.9	3.7

3	4	2001	17.9	20.2	16.0	83.0	0.2	2.9	180.9	0.1	1.9

4	4	2001	17.4	20.4	14.5	83.0	0.3	1.7	106.0	1.0	1.7

5	4	2001	17.8	20.3	15.8	91.0	3.8	1.7	139.9	0.0	1.3

6	4	2001	16.7	20.1	13.1	79.0	0.0	3.2	116.3	11.0	2.5

7	4	2001	17.0	23.1	11.3	85.0	0.0	3.5	112.6	6.5	2.0

8	4	2001	18.4	23.1	13.7	87.0	0.0	3.3	113.3	6.8	2.1

9	4	2001	17.7	22.2	14.5	86.0	4.2	2.3	75.9	5.1	1.8

10	4	2001	17.8	23.8	12.2	80.0	0.0	4.5	105.4	10.1	2.4

11	4	2001	19.2	26.4	13.3	74.0	0.0	3.2	94.0	10.5	2.7

12	4	2001	20.7	27.2	16.0	79.0	0.0	4.5	84.1	10.3	2.6

13	4	2001	21.6	25.8	16.9	80.0	0.0	5.4	329.6	2.3	2.8

14	4	2001	20.4	22.7	18.3	88.0	6.5	2.6	237.3	6.5	2.3

15	4	2001	17.6	20.7	12.8	77.0	1.0	4.8	189.8	9.5	2.6

16	4	2001	18.4	25.3	10.9	77.0	0.0	3.8	252.4	6.3	2.7

17	4	2001	20.5	26.6	15.5	83.0	0.0	2.3	179.2	10.2	2.6

18	4	2001	23.3	29.6	17.8	77.0	0.0	8.0	370.9	9.4	3.9

19	4	2001	17.4	21.1	13.1	63.0	0.0	9.0	285.9	8.8	3.5

20	4	2001	15.7	22.2	10.8	71.0	0.0	3.9	252.4	10.4	2.8

21	4	2001	13.3	18.0	7.2	59.0	0.0	5.8	253.4	8.5	3.0

22	4	2001	13.7	20.7	5.7	67.0	0.0	2.5	160.0	2.3	2.2

23	4	2001	14.8	18.3	12.1	75.0	8.2	4.4	246.6	8.9	2.3

24	4	2001	11.9	16.0	7.9	74.0	0.0	2.9	121.6	9.7	1.7

25	4	2001	12.9	18.8	7.1	81.0	0.0	2.4	164.0	6.6	1.6

26	4	2001	14.9	21.0	9.7	81.0	0.0	4.8	143.0	10.2	1.8

27	4	2001	15.8	22.0	10.5	78.0	0.0	3.9	155.5	10.3	1.9

28	4	2001	13.3	14.5	12.5	77.0	0.0	7.3	279.3	2.3	2.0

29	4	2001	12.0	14.7	9.7	69.0	0.0	3.4	245.2	8.0	2.2

30	4	2001	12.9	15.9	8.1	92.0	0.0	1.0	138.1	0.0	0.9

1	5	2001	15.1	18.1	10.4	96.0	8.6	1.2	323.4	0.0	0.9

2	5	2001	11.7	15.9	8.9	84.0	3.0	2.8	152.9	7.6	1.2

3	5	2001	9.9	12.5	6.0	77.0	0.0	2.1	301.2	0.9	1.8

4	5	2001	9.8	13.5	4.5	79.0	0.0	2.2	90.0	9.5	1.1

5	5	2001	10.3	16.0	5.9	83.0	0.0	1.8	106.9	8.4	1.0

6	5	2001	12.2	16.9	7.5	78.0	0.0	1.5	115.9	2.9	1.3

7	5	2001	13.6	20.0	8.0	85.0	0.0	1.9	131.6	6.0	1.2

8	5	2001	13.8	15.6	13.2	94.0	0.0	0.4	85.6	0.0	0.8

9	5	2001	12.9	16.6	9.3	91.0	5.8	1.9	155.7	5.8	0.9

10	5	2001	11.3	16.2	8.2	90.0	0.0	1.5	161.3	4.9	0.9

11	5	2001	10.8	13.6	6.8	90.0	0.0	0.2	180.4	0.8	0.9

12	5	2001	10.3	13.8	7.4	73.0	3.5	2.5	115.1	8.3	1.2

13	5	2001	9.6	12.6	6.2	70.0	0.0	2.4	88.2	4.4	1.2

14	5	2001	9.5	12.6	4.9	84.0	0.0	0.6	110.5	0.7	1.0

15	5	2001	10.8	16.4	6.0	83.0	0.0	1.1	186.9	2.0	1.2

16	5	2001	11.6	14.0	9.6	88.0	1.7	0.9	127.0	0.0	0.9

17	5	2001	10.4	12.2	7.4	98.0	0.3	0.3	100.3	0.1	0.5

18	5	2001	8.7	13.6	5.0	87.0	0.0	0.8	180.9	0.9	0.9

19	5	2001	11.1	17.2	7.2	85.0	0.0	1.6	101.0	6.6	0.8

20	5	2001	13.8	19.6	8.6	80.0	0.0	4.2	130.7	2.5	1.2

21	5	2001	14.8	17.2	13.0	97.0	31.7	0.9	183.7	0.0	0.7

22	5	2001	13.9	16.8	10.6	93.0	13.0	1.2	145.4	4.2	0.7

23	5	2001	12.8	19.6	9.0	93.0	0.0	1.6	172.8	6.2	0.7

24	5	2001	15.2	21.7	9.0	82.0	0.0	3.9	315.4	8.4	1.6

25	5	2001	17.3	23.4	11.7	82.0	0.0	1.8	236.0	8.4	1.5

26	5	2001	18.2	22.6	14.8	88.0	0.0	2.4	249.3	1.0	1.3

27	5	2001	19.6	24.4	16.4	89.0	0.0	1.4	168.0	5.9	1.2

28	5	2001	18.6	24.4	15.4	82.0	0.0	3.1	311.3	9.2	1.8

29	5	2001	18.4	23.8	15.0	84.0	0.0	2.6	220.3	7.2	1.4

30	5	2001	17.1	20.3	13.6	95.0	1.0	1.4	118.5	0.0	0.7

31	5	2001	16.6	18.2	13.6	99.0	9.9	1.1	242.6	0.0	0.5

1	6	2001	14.2	17.2	12.2	89.0	1.0	1.0	158.4	1.4	0.9

2	6	2001	14.8	18.4	11.0	96.0	0.4	0.9	128.1	3.7	0.6

3	6	2001	14.3	15.8	12.3	93.0	1.2	0.6	137.0	0.0	0.7

4	6	2001	13.2	16.3	10.0	82.0	0.5	2.0	231.1	4.0	1.2

5	6	2001	13.8	17.5	9.1	94.0	58.8	3.0	96.7	1.2	0.6

6	6	2001	11.4	17.1	6.2	75.0	4.0	1.9	153.8	8.5	1.0

7	6	2001	12.2	18.6	7.1	84.0	0.0	1.3	286.4	9.2	1.0

8	6	2001	16.3	22.1	11.9	86.0	0.0	3.0	242.1	7.8	1.1

9	6	2001	17.3	21.4	15.1	93.0	0.2	0.4	95.7	2.2	0.7

10	6	2001	16.7	20.4	15.2	98.0	1.0	0.6	190.9	0.4	0.6

11	6	2001	18.8	23.0	15.8	86.0	0.0	2.6	417.6	4.1	1.7

12	6	2001	19.1	22.3	16.2	85.0	0.0	2.3	149.7	1.9	1.2

13	6	2001	19.2	23.8	15.3	91.0	0.4	0.8	289.0	4.2	1.1

14	6	2001	15.7	19.1	12.6	98.0	0.0	1.7	189.5	0.0	0.5

15	6	2001	12.0	13.4	11.4	91.0	10.7	1.1	230.0	0.0	0.8

16	6	2001	9.6	11.0	8.6	87.0	2.4	1.3	539.9	0.2	1.4

17	6	2001	7.8	9.2	4.5	77.0	6.8	1.0	239.1	0.0	1.3

18	6	2001	7.3	11.0	3.0	85.0	0.0	1.1	100.2	7.6	0.3

19	6	2001	7.3	10.4	5.0	86.0	0.2	0.7	56.7	0.3	0.6

20	6	2001	6.6	10.6	3.2	77.0	0.0	2.0	114.2	9.1	0.4

21	6	2001	6.9	11.3	1.9	79.0	0.0	1.6	107.2	9.1	0.4

22	6	2001	7.3	12.7	1.9	82.0	0.0	1.4	149.6	7.9	0.5

23	6	2001	7.8	13.3	2.8	86.0	0.0	0.7	96.9	6.0	0.4

24	6	2001	7.3	10.4	4.6	82.0	0.0	0.9	133.3	0.4	0.9

25	6	2001	9.7	12.3	7.4	93.0	0.0	0.9	134.9	1.0	0.5

26	6	2001	7.6	15.0	2.0	88.0	0.0	0.9	160.0	9.2	0.3

27	6	2001	9.2	16.5	3.6	75.0	0.0	2.9	212.5	8.4	0.9

28	6	2001	10.5	17.0	5.3	83.0	0.0	1.6	239.7	9.1	0.7

29	6	2001	12.4	18.6	6.5	85.0	0.0	1.6	239.8	7.4	0.9

30	6	2001	14.1	20.2	9.8	90.0	0.0	1.4	201.4	8.6	0.6

1	7	2001	12.6	17.3	9.2	84.0	0.0	1.4	173.9	2.2	0.0

2	7	2001	9.8	15.0	6.4	81.0	0.0	0.8	101.2	6.1	0.0

3	7	2001	14.6	18.2	8.3	92.0	0.0	0.5	244.2	0.4	0.0

4	7	2001	11.8	16.5	5.9	74.0	0.8	2.2	189.9	4.3	0.4

5	7	2001	7.4	11.2	3.2	70.0	0.0	2.5	159.3	8.5	0.8

6	7	2001	9.5	16.6	2.2	77.0	0.0	1.1	311.6	8.3	0.4

7	7	2001	14.4	16.5	13.4	94.0	6.5	0.6	160.5	0.0	3.5

8	7	2001	19.0	25.4	13.0	77.0	1.0	3.7	401.0	8.2	7.2

9	7	2001	16.3	22.0	8.2	79.0	0.0	2.3	220.1	0.7	4.4

10	7	2001	8.0	11.5	6.0	81.0	0.0	1.4	155.8	1.3	2.8

11	7	2001	7.3	12.3	3.3	75.0	9.0	2.4	188.9	9.5	6.5

12	7	2001	6.6	12.1	0.7	81.0	0.0	1.2	147.5	4.7	10.6

13	7	2001	8.9	15.9	4.4	74.0	0.0	3.2	336.3	8.1	5.8

14	7	2001	10.0	14.3	6.3	81.0	0.0	2.5	123.3	3.8	3.2

15	7	2001	11.2	18.6	3.9	81.0	0.0	0.8	238.4	9.4	2.3

16	7	2001	15.8	21.2	12.7	88.0	0.0	1.2	149.3	1.5	1.8

17	7	2001	16.2	23.2	11.6	92.0	1.2	1.5	248.2	10.4	2.1

18	7	2001	11.6	15.4	7.8	98.0	0.0	0.9	140.1	1.3	1.2

19	7	2001	11.0	15.8	7.4	97.0	0.0	1.8	334.5	0.1	0.6

20	7	2001	10.7	13.6	7.6	91.0	22.2	1.9	77.1	8.0	11.5

21	7	2001	7.6	9.6	6.0	89.0	0.0	1.4	140.3	0.0	22.5

22	7	2001	5.7	8.8	1.2	77.0	0.5	1.1	78.2	8.6	11.6

23	7	2001	5.8	9.8	1.0	70.0	0.0	2.0	87.9	6.2	8.1

24	7	2001	6.6	11.0	3.4	76.0	0.0	1.8	137.5	8.7	5.8

25	7	2001	7.7	11.4	2.4	93.0	0.0	0.2	188.4	0.3	4.6

26	7	2001	6.8	8.0	5.0	87.0	2.5	1.2	331.5	2.1	5.1

27	7	2001	5.9	8.8	2.4	77.0	0.0	1.9	206.8	8.3	2.6

28	7	2001	5.6	11.8	-0.6	68.0	0.0	2.3	299.4	9.8	1.3

29	7	2001	9.8	16.6	3.4	59.0	0.0	3.9	321.7	7.9	0.8

30	7	2001	14.8	20.0	10.8	68.0	0.0	3.8	245.2	6.5	0.6

31	7	2001	15.6	22.0	11.0	87.0	0.0	2.3	110.3	6.0	0.5

1	8	2001	18.3	25.8	10.0	85.0	0.0	2.9	285.9	7.0	0.4

2	8	2001	23.1	29.7	19.0	71.0	0.0	6.5	302.8	8.6	0.0

3	8	2001	21.8	28.0	17.7	73.0	0.0	4.0	248.3	9.4	0.0

4	8	2001	15.1	23.6	11.4	95.0	0.0	2.1	308.4	4.8	0.0

5	8	2001	19.3	24.2	15.5	80.0	0.0	4.6	435.7	7.3	0.0

6	8	2001	12.9	19.0	7.7	91.0	0.0	0.8	194.1	0.0	0.0

7	8	2001	10.6	16.2	5.8	77.0	7.2	3.1	226.9	10.2	3.6

8	8	2001	11.9	19.2	5.4	79.0	0.0	2.7	92.9	10.0	7.2

9	8	2001	12.0	17.8	7.0	85.0	0.0	2.6	166.6	7.8	3.6

10	8	2001	12.3	16.5	8.5	88.0	1.0	2.2	280.7	8.2	2.9

11	8	2001	16.2	21.5	12.2	80.0	0.0	3.6	445.8	8.8	2.8

12	8	2001	18.7	25.8	12.7	77.0	0.0	3.9	270.7	8.7	1.9

13	8	2001	16.5	18.6	15.1	93.0	3.0	0.8	76.7	0.0	3.0

14	8	2001	15.9	20.6	11.4	88.0	2.5	3.2	177.6	3.7	4.5

15	8	2001	13.7	15.6	12.1	96.0	16.7	0.7	192.0	0.0	12.6

16	8	2001	13.2	13.6	12.0	100.0	7.5	0.4	256.3	0.0	22.9

17	8	2001	15.0	18.5	12.0	99.0	26.8	0.6	221.5	0.0	30.8

18	8	2001	14.4	17.5	8.9	94.0	15.0	2.5	418.9	0.0	44.8

19	8	2001	11.6	16.2	7.0	74.0	2.9	2.6	253.9	10.2	37.5

20	8	2001	10.4	17.1	3.4	64.0	0.0	5.1	152.6	10.5	25.0

21	8	2001	11.4	19.0	5.7	70.0	0.0	1.6	192.1	10.4	17.4

22	8	2001	12.6	20.0	7.1	73.0	0.0	4.0	174.8	10.2	11.3

23	8	2001	12.7	18.7	7.8	80.0	0.0	2.2	112.9	10.0	8.2

24	8	2001	13.4	16.5	10.7	98.0	0.0	1.4	81.5	0.0	3.1

25	8	2001	15.1	21.6	8.2	85.0	0.0	3.9	210.9	9.5	0.5

26	8	2001	19.2	27.0	13.6	82.0	0.0	3.3	379.1	5.6	0.0

27	8	2001	12.8	16.4	8.4	79.0	63.0	2.3	232.0	5.7	31.5

28	8	2001	12.4	19.4	6.3	65.0	1.6	3.4	229.9	10.4	63.8

29	8	2001	15.6	22.2	9.0	81.0	0.0	2.3	141.8	7.2	33.1

30	8	2001	15.3	19.0	12.4	94.0	0.0	1.4	279.0	8.0	21.8

31	8	2001	13.6	14.2	12.5	99.0	1.8	0.2	162.4	0.0	17.2

1	9	2001	12.7	14.2	11.7	99.0	12.7	0.4	301.3	0.0	21.2

2	9	2001	11.6	13.2	10.5	91.0	5.5	0.8	255.6	2.0	27.2

3	9	2001	12.3	12.8	11.7	90.0	1.0	1.8	286.5	0.0	13.2

4	9	2001	11.1	14.0	8.2	66.0	0.0	2.7	222.8	10.3	8.4

5	9	2001	9.8	14.1	5.6	80.0	0.0	4.7	264.6	10.7	5.9

6	9	2001	13.5	20.0	7.0	80.0	0.0	3.7	318.9	7.3	4.6

7	9	2001	14.1	16.4	10.5	90.0	7.3	0.5	165.9	0.0	7.1

8	9	2001	12.3	17.6	7.2	62.0	8.4	5.3	45.9	11.0	12.6

9	9	2001	12.2	17.7	8.3	50.0	0.0	4.5	78.7	11.0	12.2

10	9	2001	12.4	17.9	5.8	63.0	0.0	4.4	144.7	11.0	6.6

11	9	2001	10.7	15.4	7.4	67.0	0.0	3.3	134.0	10.7	4.6

12	9	2001	13.4	21.1	6.5	63.0	0.0	6.2	193.9	10.5	3.6

13	9	2001	14.4	19.6	10.4	64.0	0.0	1.3	146.9	6.2	2.9

14	9	2001	10.3	12.5	7.6	79.0	0.0	3.6	379.1	2.6	1.4

15	9	2001	9.0	11.7	6.1	70.0	0.0	3.0	471.8	5.3	0.0

16	9	2001	7.3	11.0	4.7	69.0	0.0	2.3	126.6	7.3	0.0

17	9	2001	10.0	16.1	3.5	69.0	0.0	3.8	241.4	8.5	0.0

18	9	2001	12.9	19.7	7.3	71.0	0.0	4.5	185.7	8.2	0.0

