DIA	MES	ANIO	T_MED_A	T_MAX_A	T_MIN_A	HR_MED	PRECIP	TANQUEA	VIENTO	HELIOF	PENMAN
12	3	2000	20.5	26.0	16.0	73.0	0.0	5.9	216.8	9.4	4.1

13	3	2000	21.9	28.0	16.3	70.0	0.0	8.2	194.9	9.3	4.3

14	3	2000	23.7	30.1	17.6	62.0	0.0	8.9	154.2	11.1	4.8

15	3	2000	25.3	33.1	19.1	56.0	0.0	8.9	197.1	11.4	5.6

16	3	2000	23.8	28.1	20.5	72.0	0.0	9.0	223.6	7.4	4.3

17	3	2000	20.2	23.8	14.8	66.0	0.0	8.4	131.2	11.3	4.0

18	3	2000	19.1	25.4	11.6	52.0	0.0	8.8	153.1	11.2	4.3

19	3	2000	21.5	29.5	14.6	36.0	0.0	8.7	212.1	11.0	5.7

20	3	2000	22.1	28.2	15.5	59.0	0.0	6.9	381.5	6.3	5.6

21	3	2000	20.0	24.4	17.2	77.0	3.0	6.8	181.8	8.6	3.4

22	3	2000	19.2	26.7	12.7	56.0	0.0	7.6	289.1	11.2	5.1

23	3	2000	21.2	30.1	15.7	79.0	0.0	7.9	339.9	6.0	3.7

24	3	2000	18.9	22.8	14.3	67.0	38.6	6.1	196.8	11.1	3.9

25	3	2000	19.0	26.1	11.1	57.0	0.0	7.3	182.8	11.2	4.2

26	3	2000	18.4	23.4	14.8	79.0	0.0	1.8	203.9	0.0	2.2

27	3	2000	15.8	19.4	12.3	77.0	7.4	4.1	327.7	2.0	2.8

28	3	2000	13.4	17.7	8.2	64.0	0.3	5.3	189.3	10.7	3.2

29	3	2000	14.4	21.5	8.5	63.0	0.0	4.8	127.0	11.2	3.0

30	3	2000	16.2	24.9	8.7	70.0	0.0	5.2	101.3	11.2	2.8

31	3	2000	17.7	24.5	12.9	75.0	1.2	2.7	63.8	2.6	2.0

1	4	2000	16.4	20.1	11.8	76.0	0.2	5.6	117.8	9.7	2.6

2	4	2000	15.9	22.9	9.1	74.0	0.0	4.6	175.7	11.0	2.9

3	4	2000	17.7	25.1	11.7	71.0	0.0	4.0	240.3	9.1	3.3

4	4	2000	18.3	22.8	16.1	87.0	0.0	2.1	71.4	0.9	1.5

5	4	2000	19.2	25.1	15.2	88.0	0.5	3.1	67.0	5.1	1.9

6	4	2000	19.8	23.5	17.0	94.0	0.0	0.8	128.0	0.0	1.2

7	4	2000	20.0	20.0	18.8	99.0	62.6	4.2	205.4	0.0	1.0

8	4	2000	18.1	21.0	15.6	96.0	15.3	0.7	196.7	0.0	1.1

9	4	2000	19.9	23.0	17.5	97.0	0.9	0.4	231.7	0.2	1.1

10	4	2000	19.8	24.9	15.9	89.0	13.4	0.1	212.1	1.0	1.7

11	4	2000	15.3	20.0	11.5	63.0	3.8	4.0	102.1	8.7	2.4

12	4	2000	15.7	20.0	11.0	80.0	0.0	2.8	94.3	8.4	2.0

13	4	2000	17.1	23.2	11.5	79.0	0.0	3.6	108.7	5.2	2.0

14	4	2000	17.4	22.4	13.1	79.0	0.0	0.6	40.7	2.0	1.6

15	4	2000	18.1	23.7	13.0	85.0	0.0	2.3	88.5	5.4	1.8

16	4	2000	17.8	21.6	14.6	88.0	0.0	2.5	219.6	3.2	1.7

17	4	2000	17.6	19.0	16.2	82.0	0.0	3.2	235.9	0.2	1.9

18	4	2000	16.0	16.8	14.6	89.0	0.0	2.0	273.3	0.0	1.5

19	4	2000	16.4	18.6	14.0	89.0	14.8	0.8	245.3	0.8	1.5

20	4	2000	15.6	19.2	12.5	89.0	1.4	3.1	92.6	8.5	1.5

21	4	2000	16.2	21.4	10.8	72.0	0.0	3.9	135.5	10.2	2.2

22	4	2000	17.7	22.4	13.8	75.0	0.0	4.2	281.4	10.4	2.8

23	4	2000	20.1	25.6	14.4	78.0	0.0	5.2	267.6	9.9	2.9

24	4	2000	19.7	25.8	14.6	74.0	0.0	3.9	184.3	9.1	2.6

25	4	2000	19.9	26.1	13.7	71.0	0.0	4.1	140.8	10.1	2.5

26	4	2000	18.9	22.6	16.3	89.0	0.0	2.3	188.1	3.8	1.6

27	4	2000	17.7	18.1	15.8	97.0	0.0	1.5	94.5	0.0	0.8

28	4	2000	17.6	20.6	14.5	89.0	6.8	2.2	137.0	8.7	1.6

29	4	2000	19.9	24.4	13.6	92.0	0.0	2.2	257.0	3.3	1.5

